District','Park name','preis'
mitte','Großer Tiergarten',0
mitte','Henriette-Herz-Park',0
mitte','Kleiner Tiergarten',0
mitte','Schloßpark Bellevue',0
mitte','Spreebogenpark',0
mitte','Tilla-Durieux-Park'0
mitte','Zoologischer Garten',0
mitte','Carl-von-Ossietzky-Park',0
mitte','Fritz-Schloß-Park',0
mitte','Geschichtspark Ehemaliges Zellengefängnis Moabit',0
mitte','Moabiter Werder',0
mitte','Ottopark',0
mitte','Präsidentendreieck',0
mitte','Goethepark',0
mitte','Schillerpark',0
mitte','Sprengelpark',0
mitte','Volkspark Rehberge',0
mitte','Park am Nordbahnhof',0
mitte','Volkspark Humboldthain',0
mitte','Invalidenpark',0
mitte','James-Simon-Park'
mitte','Köllnischer Park',0
mitte','Krausnickpark',0
mitte','Luisenstädtischer Kirchpark',0
mitte','Lustgarten',0
mitte','Marx-Engels-Forum',0
mitte','Monbijoupark',0
mitte','Park im ehemaligen Luisenstädtischen Kanal',0
mitte','Volkspark am Weinberg',0
charlottenburg-wilmersdorf','Grunewald',0
charlottenburg-wilmersdorf','Lietzenseepark',0
charlottenburg-wilmersdorf','Brixplatz',0
charlottenburg-wilmersdorf','Friedenthalpark',0
charlottenburg-wilmersdorf','Georg-Kolbe-Hain',0
charlottenburg-wilmersdorf','Gerhart-Hauptmann-Anlage',0
charlottenburg-wilmersdorf','Kuno-Fischer-Platz',0
charlottenburg-wilmersdorf','Margarete-und-Arthur-Eloesser-Park',0
charlottenburg-wilmersdorf','Melli-Beese-Anlage',0
charlottenburg-wilmersdorf','Messelpark',0
charlottenburg-wilmersdorf','Österreichpark',0
charlottenburg-wilmersdorf','Preußenpark',0
charlottenburg-wilmersdorf','Ruhwaldpark',0
charlottenburg-wilmersdorf','Schustehruspark',0
charlottenburg-wilmersdorf','Villa und Garten Harteneck',0
charlottenburg-wilmersdorf','Volkspark Jungfernheide',0
charlottenburg-wilmersdorf','Volkspark Wilmersdorf',0
charlottenburg-wilmersdorf','Schlossgarten Charlottenburg',0
lichtenberg','Landschaftspark Herzberge',0
lichtenberg','Oberseepark und Orankesee',0
lichtenberg', 'Stadtpark Lichtenberg',0
lichtenberg','Tierpark Berlin',16
pankow','Wasserturm am Kollwitzplatz',0
pankow','Botanischer Volkspark Blankenfelde',0
pankow', 'Bürgerpark Pankow',0
pankow','Leise-Park',0
pankow','Mauerpark',0
pankow','Naturpark Barnim',0
pankow','Volkspark Prenzlauer Berg',0
reicknickendorf','Buddhistisches Haus',0
reicknickendorf','Gartenstadt Frohnau',0
reicknickendorf','Tegeler Fließ',0
